,country,score,topic,review,category,sentiment
1072,Canada,1,Last update = annoying April 24- May 12-May 23,"Who's idea was it to add ""Ideas for you"" to the main view? With no way to get rid of it???
 Stupid. Done with Pin until that is gone.
 Now even more useless changes. The ""menu"" bar disappears when off the main feed? How idiotic is that??
 App deleted.
 So, new update April 24. Tried app again. NOTHING fixed. looks like it's good-bye for good.
 Thanks for ruining Pinterest.
 Update; Like a fool I checked out the last update. Still no functionality added. 
 I believe it is proof positive that Pinterest does not give a damn about its users or feedback provided.
 Ok. So in fairness I thought, ok, one more try. Still utterly useless, and far less functional than the app was several iterations ago. Moronic.",bug report,negative
1073,Australia,5,Facebook rocks,Great app,other,positive
1074,United States,5,Great App!,"Easy, and fast app.",requirement,positive
1075,India,5,Face filter not displaying,Mine is iPhone 5s and in my instagram app the face filter is not even displaying. What should I do?,bug report,neutral
1076,South Africa,5,Great App,"I used to use the TomTom app but Waze is better in almost every single way. Hasn't let me down so far and hopefully, it never will.",other,positive
1077,Australia,4,Great App,Instagram is one of my favourite apps as is great for sharing photos or clips. However there are a few things that could be redone like been able to change the order of your posts without deleting and re-uploading them as you loose your likes and comments. Also been able to edit a photo once it's been posted (not just the comment),requirement,positive
1078,India,5,Insta for iPad,"I love instagram but I couldn't find app for my iPad , please make it available for iPad too",other,positive
1079,India,4,Fun app! & a terrific reference source.,Fun app! & a terrific reference source.,other,positive
1080,Hong Kong,1,ï¼Œ,ï¼Œ,noise,neutral
1081,United States,4,Nice app,Needs to drop pins where you originally pressed the button not where you finish logging,other,positive
1082,South Africa,4,Awesome messenger app,"I've grown more relaxed with WhatsApp as I can see Facebook are keeping themselves apart from WhatsApp. But I still love WhatsApp, especially when I can receive group info for whatever is being started up in my life (church things or secret parties). Can I suggest a like option for messages? So I don't have to reply with a message, almost like what iMessage has. That and the ability to mute individuals in a group. Then this will go to a well worth 5 star rating.",requirement,positive
1083,Hong Kong,1,?,ï¼Ÿ ï¼Ÿ,noise,neutral
1084,United Kingdom,5,@Luke_bulb,Add @luke_bulb (that's not me),other,neutral
1085,United States,5,Suggestion,Pages like to post a lot of memes that some of their classics or some pictures of who he page belongs to gets lost in the feed you guys should add a pin feature where they could pin a few or even just 1 picture so we don't have to scroll to see what the person looks like they have it pinned to the top of their profile. My ig is @fathersossa give me some credit if you guys chose to do this. Thanks.,requirement,neutral
1086,India,2,Comments not seen,"After the update I can't to read comments on any pages or posts I can see only stickers only and why should I spend such 200mb update for wasting my time. 
 Really mess with this..",bug report,negative
1087,Australia,5,Great app!!!,Best social media app there is in my opinion!,other,positive
1088,Singapore,1,Crappy newsfeed,"Newsfeed is full of ads, and will only show popular posts. If u only have a few likes, chances are you are never noticed",bug report,negative
1089,United Kingdom,1,Doesn't even deserve one star,Can't upload photos without it crashing and then freezes my entire phone. Very annoying - get it sorted!!!!!,bug report,negative
1090,India,5,can't believe you still don't have it!,"It's my most favourite app yet for a long time now, it's amazing, don't think twice before downloading this. The best social media app till date.",other,positive
1091,India,3,Refreshng to previous messages,Watsapp auto refreshes nd shows previous messages instead of latest messages,bug report,neutral
1092,Australia,4,Great fun!,Enjoyed reporting in regularly,other,positive
1093,United States,1,FONT SIZE OMG,"My feed looks like a screaming match! Get rid of the giant font! If I need help reading, I'll change my settings or put glasses on. Plus, why is Messenger not showing up in Facebook on my iPad? It seems to have vanished.",bug report,negative
1094,South Africa,1,Bring back the favorites button,"I enjoy the new Whatsapp but could you please bring back the favorites icon, it's hard to get you contacts, nor to reach people you've added on Whatsapp",requirement,positive
1095,Canada,1,Love facebook,Trying to add a happy birthday post but every time I add pictures it freezes !!!!!! ï¿½,bug report,positive
1096,Hong Kong,1,Newsfeed,Newsfeed shows old feeds and the sequence is so confuse. Please follow up.,bug report,neutral
1097,United States,2,Rewind ï¿½,I don't have rewind thing and I'm looking at all my friends use and I'm just like ..... ?f only I had,bug report,neutral
1098,Singapore,1,Terrible,It always hangs and freezes the phone in the middle of videos,bug report,negative
1099,India,1,Serious Irritating Bug!,"Why am I getting old notifications again and again?
 Also most recent stories appear below the older ones. Fix it asap!",bug report,negative
1100,Canada,5,To Instagram,U guys are awesome thank you for this app,other,positive
1101,South Africa,1,Facebook taking a lot of space,Wow! Over 400MB for Facebook?? Too big!! Over 200MB just to download it!,bug report,neutral
1102,India,4,Video calling,Try to make it clear,bug report,neutral
1103,United Kingdom,5,INSANE APP,"This app is absolutely insane, it has everything and anything you need to change your nutrition and watch your diet, a massive help!",other,positive
1104,India,1,231 MB,Very large,bug report,neutral
1105,United States,5,Awesome,Fun to use!,other,positive
1106,United States,5,Such accuracy!,Truly rely on Waze so much! Thank You !!,other,positive
1107,United States,1,Stop with these unwanted changes!!!!!!!!,"There's a lot that we want, but I feel like we're getting updates that we don't want. My biggest concern is that the instagram posts aren't in chronological order anymore!!!! Please put it back!!!! I WANT MY LIKESSSS. Thanks.",requirement,negative
1108,Australia,1,Lacking privacy,"Why does Waze only have Always/Never for location permission? ""While Using"" needs to be an option.",requirement,neutral
